월,구분,작지번호,고객,품명,담당자,국가,오더수량,포장단위,수주금액,화폐,수주금액(원),수주금액(달러),수주 전송일,영업출고요청일,영업협의출고일,생산완료예상일,포장완료예상일,포장 진도율,현재상태,포장완료일,리드타임(일),리드타임 검토,납기준수(영업출고요청일),납기준수(영업협의출고일),생산/포장 특이사항,연도,__month_date__
26.05월,1-DAY,DD1124,Hearts Optical,(NEW)O2O2 D_Blending Rose EX,임건훈,홍콩,300,30,105,USD,142321,105,2026-04-07 00:00:00,2026-05-07 00:00:00,,체크필요,,0,생산진행중,,,,포장계획수립필요,기준없음,,2026,2026-05-01 00:00:00
26.05월,1-DAY,DD1124,Hearts Optical,O2O2 D_Spherical(DK70)_K2-SMD,임건훈,홍콩,120,30,40,USD,53675,40,2026-04-07 00:00:00,2026-05-07 00:00:00,,체크필요,,0,생산진행중,,,,포장계획수립필요,기준없음,,2026,2026-05-01 00:00:00
26.05월,1-DAY,DD1127,Hearts Optical,O2O2 D_Toric_SMDH_WHITE,임건훈,홍콩,9000,1,3150,USD,4269636,3150,2026-04-07 00:00:00,2026-05-07 00:00:00,,체크필요,,0,생산진행중,,,,포장계획수립필요,기준없음,,2026,2026-05-01 00:00:00
26.05월,1-DAY,DD1127,Hearts Optical,O2O2 D_Spherical(DK70)_K2-SMD,임건훈,홍콩,210,1,42,USD,56928,42,2026-04-07 00:00:00,2026-05-07 00:00:00,,체크필요,,0,생산진행중,,,,포장계획수립필요,기준없음,,2026,2026-05-01 00:00:00
26.05월,1-DAY,GG0185,"SINCERE Co.,Ltd",sincere Natural 1day,송미정,일본,120600,30,20140,USD,27298833,20140,2026-03-27 00:00:00,2026-05-08 00:00:00,,체크필요,,87.7,생산진행중,,,,포장계획수립필요,기준없음,,2026,2026-05-01 00:00:00
26.05월,1-DAY,HW0308,OPTIMAX,O2O2 D_Spherical(DK70)_K2-SMD_White,임현우,그리스,3600,30,972,EUR,1541582,1137,2026-03-31 00:00:00,2026-05-01 00:00:00,,포장완료,,100,포장완료,2026-04-17 00:00:00,17,,준수,기준없음,,2026,2026-05-01 00:00:00
26.05월,1-DAY,X2394,CROSSBIRD LIMITED (Feel Good Contacts),O2O2 D_UV_Spherical_FGC,임승진,영국,212670,30,51041,USD,69182742,51041,2026-04-08 00:00:00,2026-05-11 00:00:00,,체크필요,,0,생산진행중,,,,포장계획수립필요,기준없음,,2026,2026-05-01 00:00:00
26.05월,1-DAY,X2395,CROSSBIRD LIMITED (Feel Good Contacts),O2O2 D_UV_Spherical_FGC,임승진,영국,16635,5,4325,USD,5862414,4325,2026-04-08 00:00:00,2026-05-11 00:00:00,,체크필요,,0,생산진행중,,,,포장계획수립필요,기준없음,,2026,2026-05-01 00:00:00
26.05월,1-DAY,X2396,CROSSBIRD LIMITED (Feel Good Contacts),O2O2 D_Multifocal_FGC,임승진,영국,16500,30,6600,USD,8945904,6600,2026-04-08 00:00:00,2026-05-11 00:00:00,,체크필요,,0,생산진행중,,,,포장계획수립필요,기준없음,,2026,2026-05-01 00:00:00
26.05월,1-DAY,YH0148,OPTICAL SUPPLIES Co.,BELLA D_Pine,조용호,쿠웨이트,44700,10,22484,USD,30475849,22484,2026-04-15 00:00:00,2026-05-18 00:00:00,,체크필요,,0,생산진행중,,,,포장계획수립필요,기준없음,,2026,2026-05-01 00:00:00
26.05월,1-DAY,YH0148,OPTICAL SUPPLIES Co.,BELLA D_Cedar,조용호,쿠웨이트,67700,10,34053,USD,46156934,34053,2026-04-15 00:00:00,2026-05-18 00:00:00,,체크필요,,0,생산진행중,,,,포장계획수립필요,기준없음,,2026,2026-05-01 00:00:00
26.05월,1-DAY,YH0148,OPTICAL SUPPLIES Co.,BELLA D_Garnet,조용호,쿠웨이트,8400,10,4225,USD,5727005,4225,2026-04-15 00:00:00,2026-05-18 00:00:00,,체크필요,,0,생산진행중,,,,포장계획수립필요,기준없음,,2026,2026-05-01 00:00:00
26.05월,1-DAY,YH0148,OPTICAL SUPPLIES Co.,BELLA D_Star,조용호,쿠웨이트,28800,10,14486,USD,19635446,14486,2026-04-15 00:00:00,2026-05-18 00:00:00,,체크필요,,0,생산진행중,,,,포장계획수립필요,기준없음,,2026,2026-05-01 00:00:00
26.05월,1-DAY,YH0148,OPTICAL SUPPLIES Co.,BELLA D_Cove,조용호,쿠웨이트,12900,10,6489,USD,8795044,6489,2026-04-15 00:00:00,2026-05-18 00:00:00,,생산완료,,0,생산완료,,,,포장계획수립필요,기준없음,,2026,2026-05-01 00:00:00
26.05월,1-DAY,YH0149,OPTICAL SUPPLIES Co.,DYE D_ONYX,조용호,쿠웨이트,1700,10,782,USD,1059954,782,2026-04-15 00:00:00,2026-05-18 00:00:00,,생산완료,,0,생산완료,,,,포장계획수립필요,기준없음,,2026,2026-05-01 00:00:00
26.05월,1-DAY,YH0149,OPTICAL SUPPLIES Co.,DYE D_LAVA,조용호,쿠웨이트,15300,10,6017,USD,8155411,6017,2026-04-15 00:00:00,2026-05-18 00:00:00,,체크필요,,0,생산진행중,,,,포장계획수립필요,기준없음,,2026,2026-05-01 00:00:00
